[48:06] 0
[48:18] 0 []
[48:38] 0 [V(0, 0)]
[50:28] 0 [V(0, 0)]
[51:43] 0 [V(0, 0)]
[52:17] 0 [V(0, 0)]
[52:50] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:16] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
[58:17] 0 [V(0, 0)]
